Z,长度,cy_count,人均消费_,data_point,r/s_均值,rent_area_,sell_area_,lng,lat
0,0,0,0,0,0,0,0,334590,3396011
0,128.4777579,,,,,,,333590,3397011
0,1539.908057,,,,,,,334590,3397011
0,1032.299541,,,,,,,335590,3397011
0,1543.891782,,,,,,,336590,3397011
0,172.2519634,,,,,,,337590,3397011
0,2038.437108,,,,,,,338590,3397011
0,2011.393625,,,,,,,339590,3397011
0,123.7364594,,,,,,,340590,3397011
0,1001.947338,,,,,,,333590,3398011
0,3998.822787,,,,,,,334590,3398011
0,5763.907544,,,,,,,335590,3398011
0,3708.058274,,,,,,,336590,3398011
0,4893.990212,,,,,,,337590,3398011
0,3113.706902,,,,,,,338590,3398011
0,2739.764475,,,,,,,339590,3398011
0,5484.13162,,,,,,,340590,3398011
0,1848.430372,,,,,,,341590,3398011
0,81.78549179,,,,,,,342590,3398011
7734,662.0095421,,,,,,,333590,3399011
7734,3291.465728,,,,,,,334590,3399011
5881,3373.507866,,,,,,,335590,3399011
11271,3233.360422,,,,,,,336590,3399011
8471,2546.455112,,,,,,,337590,3399011
0,2528.312585,,,,,,,338590,3399011
0,4409.939375,,,,,,,339590,3399011
0,12457.38873,2,0,,,,,340590,3399011
0,10370.50887,1,0,1,624.032,31.25,19501,341590,3399011
0,1887.493569,,,1,433.34,31.91489362,13830,342590,3399011
0,40.28372575,,,,,,,343590,3399011
350,40.26962147,,,,,,,333590,3400011
350,2142.818481,,,,,,,334590,3400011
1008,4284.919135,,,,,,,335590,3400011
8522,5330.557603,,,,,,,336590,3400011
8471,5267.985656,,,,,,,337590,3400011
8471,3467.013404,,,,,,,338590,3400011
4712,4388.897316,2,0,,,,,339590,3400011
0,11206.89101,,,,,,,340590,3400011
0,11011.7181,,,1,692.2905706,26.17253617,18119,341590,3400011
0,3196.517362,,,4,753.8335952,25.40834846,19153.66667,342590,3400011
0,59.01719702,,,1,593.4842069,44.90094208,26648,343590,3400011
364,48.33474005,,,,,,,333590,3401011
364,3424.880897,,,,,,,334590,3401011
4255,4097.472442,,,,,,,335590,3401011
8471,6344.541144,,,,,,,336590,3401011
8471,9024.412602,1,0,,,,,337590,3401011
11368,9273.776901,4,0,,,,,338590,3401011
11368,4965.630497,1,35,2,668.1674782,21.21324438,14174,339590,3401011
8471,12773.50841,,,,,,,340590,3401011
6402,9635.766241,,,2,980.5842,28.08988764,27544.5,341590,3401011
0,12354.43172,,,2,1609.3,15.78947368,25410,342590,3401011
0,3783.019359,,,4,901.9784615,24.52830189,22124,343590,3401011
0,0,,,,,,,344590,3401011
173,0,,,,,,,332590,3402011
173,180.0417761,,,,,,,333590,3402011
4954,2185.741796,,,,,,,334590,3402011
6634,3132.477459,,,,,,,335590,3402011
5623,2041.338584,,,,,,,336590,3402011
11187,4061.959908,,,,,,,337590,3402011
9439,3692.774118,,,,,,,338590,3402011
11124,3369.962761,,,1,780.7060421,30.26798657,23630.4,339590,3402011
10938,10478.11624,,,,,,,340590,3402011
5381,4992.800844,,,1,759.0908108,31.3559322,23802,341590,3402011
1797,7601.918029,,,2,872.9563227,30.5479201,26667,342590,3402011
0,2698.15114,,,,,,,343590,3402011
0,2191.376072,,,,,,,344590,3402011
0,1107.801355,,,,,,,345590,3402011
0,0,,,,,,,346590,3402011
261,93.75573401,,,,,,,331590,3403011
261,557.114354,,,,,,,332590,3403011
365,2812.684041,1,0,,,,,333590,3403011
2813,2579.666569,,,,,,,334590,3403011
368,1438.733054,,,,,,,335590,3403011
336,3225.044088,,,,,,,336590,3403011
5857,1468.798903,,,,,,,337590,3403011
5066,3960.706059,,,,,,,338590,3403011
5722,3479.998957,,,1,888.6985121,23.4819511,20868.375,339590,3403011
5722,5353.095105,1,0,1,1139.532245,25.25773196,28782,340590,3403011
1302,1994.753468,,,1,800.621723,34.41950075,27557,341590,3403011
6786,1916.162217,,,,,,,342590,3403011
6475,3622.405339,,,1,897.2176813,27.84831432,24986,343590,3403011
119,3976.675743,,,,,,,344590,3403011
0,1807.931633,,,,,,,345590,3403011
0,1391.613175,,,,,,,346590,3403011
0,0,,,,,,,347590,3403011
391,0,,,,,,,330590,3404011
33,639.3147025,,,,,,,331590,3404011
365,3253.302087,,,,,,,332590,3404011
357,2317.548289,,,,,,,333590,3404011
357,1486.100943,,,,,,,334590,3404011
365,4014.928885,,,,,,,335590,3404011
365,1644.628521,,,,,,,336590,3404011
290,2927.595491,,,,,,,337590,3404011
365,674.5769473,,,,,,,338590,3404011
2745,1986.842543,,,3,1823.115,13.33333333,24308.2,339590,3404011
1328,371.1697618,1,25,2,782.867431,30.06894791,23540,340590,3404011
278,6308.152186,,,1,1014.954204,30.54226475,30999,341590,3404011
2036,7151.646153,,,2,817.2187896,25.52437642,20859,342590,3404011
2726,4523.710901,,,,,,,343590,3404011
353,3741.61651,,,,,,,344590,3404011
0,1586.19397,,,,,,,345590,3404011
0,1597.678214,,,,,,,346590,3404011
0,2898.812664,,,,,,,347590,3404011
0,470.155165,,,,,,,348590,3404011
96,0,,,,,,,329590,3405011
96,598.2005689,,,,,,,330590,3405011
314,1597.656068,,,,,,,331590,3405011
327,2265.415153,,,,,,,332590,3405011
365,1971.533359,,,,,,,333590,3405011
328,2350.853266,,,,,,,334590,3405011
365,2743.612042,,,,,,,335590,3405011
365,1116.600765,,,,,,,336590,3405011
318,2709.686502,,,,,,,337590,3405011
365,2984.617905,,,,,,,338590,3405011
365,1598.059677,,,,,,,339590,3405011
364,2262.723063,,,,,,,340590,3405011
152,4173.309617,,,,,,,341590,3405011
229,6605.379936,,,1,861.3022022,31.61259768,27228,342590,3405011
328,11035.774,4,196,1,854.864,29.89130435,25553,343590,3405011
365,4427.894978,,,1,321.44,50,16072,344590,3405011
567,2298.051083,,,,,,,345590,3405011
0,1722.12855,,,,,,,346590,3405011
0,275.6182848,,,,,,,347590,3405011
0,1854.672692,,,,,,,348590,3405011
0,2833.383447,,,,,,,349590,3405011
0,230.2338942,,,,,,,350590,3405011
0,0,,,,,,,321590,3406011
683,314.8193615,,,,,,,323590,3406011
683,763.6437154,,,,,,,324590,3406011
676,316.5995357,,,,,,,325590,3406011
0,0,,,,,,,326590,3406011
0,0,,,,,,,327590,3406011
319,105.4698227,,,,,,,329590,3406011
319,131.8956813,,,,,,,330590,3406011
365,3466.196702,,,,,,,331590,3406011
365,3494.305649,,,,,,,332590,3406011
365,2573.404725,,,,,,,333590,3406011
365,2215.308776,,,,,,,334590,3406011
365,1955.446659,,,,,,,335590,3406011
365,1688.600584,,,,,,,336590,3406011
