community,rent_area,lng,lat,sell_area,r/s
VIP大厦,91.9500169,121.5322163,31.24693939,75933,825.8073523
一品名人居,110.9296068,121.45346,31.241146,82699,745.5088175
一品新筑苑,74.71997356,121.477821,31.308435,73413.81818,982.5193276
一品漫城(一期)(公寓),119.8697904,121.501431,31.123422,59565.13793,496.9153424
一品漫城(一期)(别墅),70.51885853,121.500957,31.122432,62391.66667,884.7515115
一品漫城(三期),125.9747861,121.497674,31.121585,59123.5,469.3280443
一品漫城(二期),93.86874567,121.500957,31.122078,62263.86667,663.3077519
一品漫城(五期),95.91998324,121.498043,31.1201962,63258,659.4871878
一品漫城(四期)(公寓),91.17082958,121.494715,31.119846,61815.41667,678.017486
一品漫城四期,54.27408412,121.498073,31.119761,75033,1382.483025
一品漫城（一期）（公寓）,72.7445437,121.501431,31.123422,66304.27273,911.4672985
一品漫城（一期）（别墅）,70.74414673,121.500957,31.122432,85026.5,1201.88742
一品漫城（三期）,99.73422941,121.497674,31.121585,56017,561.6627344
一品漫城（二期）,94.58720398,121.500957,31.122078,54927.8,580.7106848
一品漫城（四期）（公寓）,85.05826797,121.494715,31.119846,60470.8,710.9338274
丁家弄小区,176.9599574,121.461827,31.218232,102387.6667,578.5922882
丁香公寓,144.1522694,121.445125,31.219204,111906.2,776.3055028
丁香大楼,148.9394371,121.444724,31.219412,99702.75,669.4180662
七浦公寓,75.34268666,121.481594,31.250245,64385.5,854.5686762
七韵美地苑,93.92480618,121.3617904,31.17316563,61623.09091,656.0896254
万业梦立方,79.15473934,121.2622684,31.12353027,42213,533.2971892
万业紫辰苑,75.90128687,121.44826,31.404802,42363,558.1328295
万东小区,96.674286,121.4879272,31.30803111,62404.2,645.5098101
万东第二小区,92.91430568,121.4892676,31.30828164,58077,625.0598288
万丰别墅,72.36842105,121.691703,31.20346616,71938,994.0523636
万临家园,113.6399816,121.4963789,31.34842298,53335.375,469.3363571
万佳苑,69.66185789,121.5442491,31.30145995,66365.52941,952.681014
万兆家园,94.8207791,121.357699,31.154624,59713.375,629.7498878
万兆家园,94.8207791,121.3559918,31.15855338,59713.375,629.7498878
万兆家园(一期),150.9540915,121.357699,31.154624,55758.78125,369.3757532
万兆家园(三期),139.87575,121.3559918,31.15855338,55159,394.3428365
万兆家园(三期),139.87575,121.354958,31.15852,55159,394.3428365
万兆家园(二期)(公寓),142.6724743,121.356167,31.156961,67637,474.0718231
万兆家园(五期),119.2330749,121.3553986,31.16006055,60834.33333,510.2135746
万兆家园(五期),119.2330749,121.3559918,31.15855338,60834.33333,510.2135746
万兆家园(四期),65.38461538,121.358046,31.155645,62187.16667,951.0978431
万兆家园（一期）,118.093587,121.3577118,31.15726803,60677.44444,513.8081244
万兆家园（一期）,118.093587,121.357699,31.154624,60677.44444,513.8081244
万兆家园（三期）,161.3935148,121.3559918,31.15855338,59649,369.5873411
万兆家园（五期）,106.2664314,121.3553986,31.16006055,60732,571.5069117
万千公寓,75.73486676,121.4379659,31.26270913,62259.25,822.0685223
万华小区,129.6689191,121.42598,31.230888,76215.92308,587.7732584
万博家园,58.0767109,121.336117,31.234519,44023.31818,758.0201685
万博欣园,58.93189575,121.3407906,31.23320964,43182.7,732.7559966
万宇漓水花苑,37.50116366,121.3462094,31.09919815,42161.66667,1124.276224
万宇阳光苑,41.49618635,121.3223209,31.06814186,33270.72727,801.7779511
万安路346弄,89.49505135,121.4908483,31.30783173,59388.33333,663.5934885
万安路374号,99.79458639,121.4899046,31.30749115,56978,570.9528148
万安路376号,99.4974109,121.489762,31.30747715,63966,642.8911006
万安路979弄,69.06588909,121.4791529,31.30710915,56662.6,820.4136767
万宜坊,174.6729715,121.477457,31.220303,124247.75,711.3164043
万宜坊,174.6729715,121.47797,31.220331,124247.75,711.3164043
万寿新村(青浦),35.57561952,121.117564,31.165264,32166.52747,904.1733611
万寿新村（青浦）,34.55199488,121.117564,31.165264,33270.11765,962.9000515
万寿路57弄,34.09650724,121.1153478,31.16085494,31549.16667,925.2902782
万峰嘉苑,99.75072792,121.484845,31.304094,58481,586.271411
万峰小区,63.10823686,121.479822,31.309405,53223.0625,843.3615824
万峰梦湖苑,109.0963977,121.467891,31.288269,71172.93103,652.3857117
万康家园,77.34295508,121.4751623,31.30697188,54207.35294,700.8699485
万昇家园,42.45771172,121.4345743,31.41246258,48667.33333,1146.254269
万春小区,137.6606534,121.4443161,31.23485492,113379.1818,823.6135673
万春苑,17.82275132,121.228585,30.794339,14613.66667,819.9444857
万景园,82.97002889,121.3783249,31.24316016,62140.13333,748.9467482
万汇公寓,43.44093407,121.543223,31.26952833,66113,1521.905581
万泰公寓,67.98315742,121.354629,31.163851,49389.71429,726.4992707
万泰花园,72.21420178,121.363824,31.14832,55051.91667,762.3419675
万源城E1,84.78984168,121.403641,31.154819,72927.72727,860.0998165
万源城尚郡,106.4685691,121.404264,31.149729,87427,821.1531413
万源城御溪(别墅),168.4280537,121.399316,31.150192,107364,637.4472522
万源城御璄,164.9109994,121.398213,31.153565,91400.7,554.2425935
万源城朗郡,93.44491991,121.401928,31.155721,81257.84375,869.5801101
万源城逸郡,108.9922746,121.401794,31.15264,84322.76923,773.6582208
万源新城,91.76268661,121.393218,31.176859,68519.28571,746.7009549
万源杰座,86.15312091,121.543584,31.208342,82812.92308,961.2295202
万登花苑,81.10655804,121.532237,31.268374,66625,821.4502206
万登花苑（杨浦）,77.27631579,121.532237,31.268374,72293.5,935.519496
万盛金邸,30.54226475,121.346147,30.757497,30999,1014.954204
万祥馨苑,17.9743128,121.822599,30.974582,20895.81818,1162.537807
万科云间传奇,49.55391358,121.187511,31.046021,44654.125,901.1220663
万科五玠坊,110.2862943,121.523349,31.162095,75785.33333,687.1690979
万科优诗美地,101.9217424,121.3425596,31.16217974,55232.29412,541.9088492
万科假日风景(公寓),62.91976306,121.409339,31.109448,64936.56311,1032.053523
万科假日风景(别墅),120.4819277,121.4085355,31.11035917,72667.5,603.14025
万科假日风景（公寓）,65.00722002,121.409339,31.109448,66559,1023.870887
万科公园大道,43.00054984,121.387137,31.030845,51251.24324,1191.874137
万科兰乔圣菲,170.8769562,121.284615,31.207176,87158.54545,510.0661166
万科凭栏苑,83.76397644,121.343397,31.165385,66662.5,795.8373376
万科华尔兹,151.6694989,121.434452,31.175581,93298.875,615.1459305
万科南桥传奇,38.72751152,121.460458,30.936885,38933.63636,1005.32244
万科四季花城,61.29564166,121.448309,31.39149027,43249.47706,705.5881282
万科四季花城(别墅),56.90022547,121.4511568,31.3883125,65275.5,1147.192291
万科城,43.86589058,121.394538,31.032139,46330.84146,1056.192884
万科城市花园,130.2663852,121.3513579,31.16664947,51895.77083,398.381906
万科城花新园,95.36399485,121.341204,31.161766,67814.07018,711.1076909
万科安亭新镇,35.88087549,121.182959,31.275267,32922,917.53614
万科尚景苑(公寓),47.61476962,121.194099,31.21057196,35759.41935,751.0152761
万科尚景苑（公寓）,48.31460674,121.194099,31.21057196,37749,781.3165116
万科尚源(公寓),45.75630061,121.194259,31.20799,35272.58333,770.8792638
万科尚源（公寓）,44.68085106,121.194259,31.20799,39922.5,893.5035714
万科广场,114.9954002,121.400309,31.199813,56389,490.358744
万科提香别墅,116.4750782,121.549617,31.138482,86819.91667,745.3947919
万科新里程,70.84724073,121.5361858,31.16574402,83036.65,1172.051997
万科时一区,126.4882583,121.317661,31.210131,82193.20588,649.808978
万科晶源,47.32667032,121.200278,31.161178,54567.875,1153.004736
万科有山,67.25780473,121.23782,31.132665,53275.81818,792.1135457
万科朗润园,86.71758127,121.346591,31.159512,65203.95833,751.9116352
万科桂馨苑,72.39980701,121.3425596,31.16217974,67075,926.4527458
万科梦想派,63.52046643,121.249212,31.067068,44846.05263,706.0094982
万科海上传奇,89.74919563,121.574116,31.164135,71874.86364,800.8413126
万科海上传奇(三期),90.50415806,121.5722925,31.1652961,68966,762.0202373
万科清林径,36.25178106,121.661319,31.030367,38468.73585,1061.154369
万科燕南园,70.95278197,121.434073,31.101606,65655.73684,925.3440813
万科琥珀臻园,59.91891553,121.3726307,31.40190053,43196.25,720.9117458
万科琥珀郡园,50.62152721,121.369338,31.399728,46361.5,915.8455415
万科白马花园(公寓),53.25432865,121.347211,31.083003,42630.66667,800.510827
万科白马花园(别墅),60.53726424,121.345773,31.086125,48528.16667,801.6247064
万科白马花园（公寓）,105.6457268,121.347211,31.083003,44893.75,424.9461985
万科白马花园（别墅）,62.69818842,121.345773,31.086125,54271,865.5911976
万科笠泽苑,90.83047424,121.3425596,31.16217974,62696,690.2529193
万科第五园,68.1362777,121.674382,31.27607,63535.1875,932.4722401
万科红郡,126.1858552,121.293487,31.21628,65427.4,518.50027
万科翡翠公园(公寓),100.5281887,121.620238,31.185762,86293.07143,858.3967598
万科翡翠公园（公寓）,108.4349646,121.620238,31.185762,79009,728.6302929
万科翡翠别墅,91.55312693,121.4910407,31.11290074,83929.14286,916.7261204
万科翡翠滨江(一期),199.3508959,121.542834,31.250551,126263.3846,633.3725465
万科翡翠滨江(二期),174.5181418,121.54849,31.253694,120720,691.7332418
万科翡翠滨江（二期）,194.6620812,121.54849,31.253694,144680,743.2366854
万科翡翠雅宾利,153.7950418,121.4785,31.263309,114489.2857,744.4276773
万科荷花苑,95.85958971,121.340957,31.160996,64626,674.1735511
万科蓝山,71.36536779,121.671608,31.275023,65321.66667,915.3132491
万科金域华府,31.0706043,121.5246372,30.94534278,34319.02941,1104.549789
万科金色公馆,122.3190055,121.489793,31.167008,109472.2,894.9729402
万科金色华亭,44.75470445,121.195907,31.01967,40420.74194,903.1618559
万科金色城品,108.3904135,121.5128472,31.17741705,84475.375,779.3620516
万科金色城市,81.86636243,121.578753,31.167328,76090.74286,929.4506388
万科金色里程(公寓),76.57121646,121.533908,31.16774525,87871.07692,1147.573213
万科金色里程(别墅),71.14624506,121.5349622,31.16701923,71831,1009.624611
万科金色里程（公寓）,77.81824183,121.533908,31.16774525,91009.25,1169.510488
万科金色里程（别墅）,64.78873239,121.5349622,31.16701923,76953,1187.752826
万科金色雅筑,81.53115554,121.5248736,31.14983971,75944.30435,931.4758738
万科金色领域,52.23064182,121.226933,31.390097,37148.93878,711.2479856
万科锦源(公寓),49.62726281,121.20461,31.166622,46588.05263,938.7592625
万科锦源(别墅),62.1761658,121.204782,31.166657,34240,550.6933333
万科锦源（公寓）,47.87659601,121.20461,31.166622,50357.71429,1051.823197
万科阳光苑,46.43806043,121.4744478,31.04698462,43905.25275,945.4583663
万科香溪苑,78.53403141,121.3425596,31.16217974,72252,920.0088
万科魅力之城,101.5284356,121.346649,31.160944,61427.3,605.0255739
